,tweet,hashtags,ref_user,urls,label
227,bitch shut yo retarded ass looking like great value nipsey hussle,,url,,0.0
228,cunt everyone smell,,,,0.0
229,literally waited red light five minutes im fucking retard,,,,0.0
230,words itll become shithole state instead shithole country,,url,,1.0
231,en retard look ton insta,,user user,,0.0
232,egn admin shut fucken mouth cunt give fuck ftp put,,user user url,,0.0
233,pinche mames wey ugh fucking orange cunt stupid af yea,,user url,,1.0
234,sure except directly quoting trumps shithole countries,,user,,0.0
235,aw nut cunt fkn gee lift home,,,,0.0
236,violence got mad year ago saying shithole countries make minds,,user url,,1.0
237,trot cinema watch burn stage fucker chanting 2 3 might throw twat,,url,,0.0
238,visited taiwan hope go back country someday,,user,,0.0
239,let rot shithole chose never ever ever let near country,,url,,1.0
240,im looking relationship means im trying hoe around retard juice strong,,,,0.0
241,course safety net necesary thats basic principle civikized country nno shithole country safet,,url,,1.0
242,needs remind one million polish immigrants flooded britain exploited wor,,user user url,,1.0
243,migrants bring disease death properly vetted,,user,,1.0
244,shut fuck retard,,user user,,0.0
245,carrying retard boy,,user url,,0.0
246,wow twat,,url,,0.0
247,babe ruth dirty jew,,user user user,,1.0
248,wow remember tried spinning shithole countries people like nah okay human garbage,,user,,1.0
249,since cishets feel need butt head everything lgbt related gay people say faggot ntransgende,,url,,0.0
250,people get offended insults jokes words like retarded autistic faggot etc,,url,,0.0
251,thnk u spic flair,,user,,1.0
252,stop making gay u faggot,,user,,0.0
253,witch muslim country shithole,crickets,user user,,1.0
254,keep mind call faggot spanish mean cant still understand,,,,1.0
255,pretty much hes little dick faggot needs ass beat reality check aint shit,,user user,,0.0
256,retard,,user,,0.0
257,ching chong ching ching jackie chan,,user user,,1.0
258,shithole countries sons bitches bleeding whatever sleepy eyes grab,,user url,,1.0
259,trans male mongoloid womans event goes,,user user url,,0.0
260,treating like treat dengists id probably say read book retard post b,,user url,,0.0
261,low life people shithole countries truth always flowers candy,,user user user,,1.0
262,tbh wouldnt hard drain refugees europe arent smart make lot noise draw,,url,,1.0
263,one day work 3 30 morning fucking calf decided go full retard,,url,,0.0
264,twat gary twat,,,,0.0
265,shoot shot lil faggot bitch ya girl seen tonight knows whats got something say,,url,,1.0
266,envy people know express emotions without sounding like complete retard,,,,0.0
267,gonna happen retarded traders get etf approval,,user,,0.0
268,wait lost control dyke w,,user url,,0.0
269,ok hobi spic,,user,,1.0
270,anyways imma take nap theres fascists everywhere shithole country hope die yeehaw,,,,1.0
271,fat mongy mess today,,,,0.0
272,okay really americans fucking mongy,,url,,0.0
273,non kpop fans call chinese ching chong ch nks see nobody outside east asian fando,,url,,1.0
274,find faggotnnnnyou cant thats faggot,,url,,0.0
275,auto watch subhuman w arab w raghead zoe autopull,,,,1.0
276,get u talk u talk likea retard,,,,0.0
277,celebrating curry gonna let smash gay mongoloid fuck,,,,0.0
278,boys boys feminazi mothers beat toxic masculinity,,user,,0.0
279,joven wedding night wanted pencilnvicente ill buy mongol factory younjoven,,user,,1.0
280,shut retard,,user,,0.0
281,fuck ching chong siopao dimsum shit sa question 3 cant understand cant c n e x u l z e kasi vague,,,,1.0
282,tammy bruce foreigners bring disease across border washington times,,url,,1.0
283,america pay back ching chong bing bong ass niggas,,url,,1.0
284,twat panel plastic yank voice ffs annoying sound ive ever,xfactor2018,url,,0.0
285,anyone actually believe 24 hours contemplation faggot already changed mind,,url,,0.0
286,anyways harry styles could call dirty spic id still munch asshole shame,,,,1.0
287,uhm need explain making wrong say gook chink spic mick heb common disc,,user url,,1.0
288,trumps issue shithole countries full brown people,,user user user url,,1.0
289,last night bar cunt pulled purge knife slight tug war,,url,,0.0
290,cunt report blasphemy,,user user url,,0.0
291,hes right lets kick every alt right retard da balls got nothn anything nfree shot,,url,,0.0
292,going university almost unimaginable refugees,,,,1.0
293,say ching chong time,,user user,,1.0
294,hard watch cunt cut beyond words,,url,,1.0
295,im spic say build wall,,user user,,1.0
296,kids better live balls shithole country,,,,1.0
297,dont speak ching chong bing bong sorry,,user,,1.0
298,smell like farted arted ab honor roll fs retarded,,user,,0.0
299,saddest anime cus hes retarded,,,,0.0
300,11 told parents parents immigrants didnt know report wife aunt fo,,url,,1.0
301,justin tucker mongoloid,,,,0.0
302,problem frank faggot hey go eat mothers asshole hey fuck fuck f,,url,,0.0
303,stupid greasy spic ayoze starts next week ill commit,,,,1.0
304,always liberals threaten im spic deported supporting trump,,url,,0.0
305,fun ive twat think started ignoring,,user,,0.0
306,funny leftist always projecting morals people giving billions terror state,,user url,,0.0
307,delete feature retarded anyways would someone delete something payed like,,user url,,0.0
308,skilled human driver save retarded ai job yet com,,user user url,,0.0
309,shut retard,,user user url,,0.0
310,said group message called basically retarded aint even dodgers fan lol simple,,user,,0.0
311,illegal aliens need shipped home,,,,1.0
312,gotta pick spanish cus cant spic ass family butchering babys name lmao,,user,,1.0
313,game glitched cunt complete challenges like 4 times actually count,,,,0.0
314,videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics,,,,1.0
315,went passed fancy dress shop southside n theres actual fucking bouncers outside ya cunt imagine kbd,,url,,0.0
316,mongy like,,user,,0.0
317,trump would press win argument shithole countries im sure adults le,,user url,,1.0
318,pretty sure called spic four times already,,user user,,1.0
319,like remember iconic nigger tweet,,,,1.0
320,went full retard,,user,,0.0
321,yeah long west ham fans ok fuking retard,,user user,,0.0
322,nah handle truth went like retard damaging cause,,user user url,,0.0
323,h nnmy mom know faggot disappintment,,,,0.0
324,ching chong one hundred,,user,,1.0
325,chinese restaurants black friday business tonight least boston area ching chong,,,,0.0
326,casey runs 7 years ill seek nomination run platform calling cunt every given event,,,,0.0
327,trump orange presbyterian mongoloid,,user user user,,1.0
328,im chinaman vietcong,,user user,,1.0
329,fine dyke,,user,,0.0
330,literally spin circles mongol,,user user user,,1.0
331,whatnskip funny fuck love hes retard hes legend,,user user user,,1.0
332,africa shithole full africans south america ditto arab countries fare better due oil,,url,,1.0
333,1 fear mongering refugees loitering international waters waiting labo,,,,1.0
334,utter cunt,,url,,0.0
335,ching ching chong rootbox ohhh got youtube money,,user,,1.0
336,britain 2018 third world shithole nna country sharia leaders cut clitorises baby girls wi,,url,,1.0
337,found everyones origins africa aloud say nigger,nohatejustasking,,,1.0
338,cant understamd shit ching chong,,user,,1.0
339,played kodak black last 8 songs girl came said must retarded like music,,url,,0.0
340,seen treat guests show give break nnif leftist attack calli,,url,,0.0
341,happy birthday cunt x,,user,,0.0
342,using likes retard lmao,,user user user user user,,0.0
343,turning away refugees kind ignoring sick kind using campaign funds pay,,user user url,,1.0
344,career criminal chinaman regular talker mention audibly enough last quarter 2014 al qaida,,user url,,1.0
345,follow dirty jew,,user user user,,1.0
346,24 hours swakopmund namibia,travel africa ttot,url,,1.0
347,old lesbians called baby dyke offended im 24,,,,0.0
348,agree totally word retarded politically incorrect thats would call dave roberts,,user,,0.0
349,wolf blizzard seems almost retarded estimation,,user user,,0.0
350,12 illegal immigrants criminal convictions fraudulently claimed,,url,,1.0
351,dave roberts certified retard,,,,0.0
352,debating whether call floor verbally abusive mega fish ends calling faggot healthy way live,,,,0.0
353,fuckin retard,,user,,0.0
354,stop shit jewish blood hands retard nnred hats blac,,user user url,,0.0
355,nyc shithole country god quickly destroyed rudy build shameless,,url,,0.0
356,country shithole nn attacking people,usa computing torture brainrape,url,,1.0
357,well parents likencarikla ching chong guy college,,user,,1.0
358,watch clip,feminization coercedfem faggot sissification sluttraining,url url,,0.0
359,remember always go full retard maybe back,,url,,0.0
360,eating meat beside point nthis cunt hunting trophy pos,,user user user url,,0.0
361,fuck retard,,user user,,0.0
362,look like dyke bruh,,user user,,0.0
363,lmfao tell cunt look elsewhere,,user,,1.0
364,jfox retard,,user,,1.0
365,gentle reminder atrocities nation states fix accept refugees,,,,1.0
366,canadians believe refugees treated better pensioners case shows,,user url,,1.0
367,raghead free speech,,user user user user user user url,,1.0
368,pinoy talents hope hired minimum requirements n look like mongoloidn voice sounds like turkeynkad,,url,,0.0
369,every month would mention something flooding apartment retard,,,,0.0
370,islamists allied every leftist terrorist movement absolutely n,,user user url,,1.0
371,go crazy spic look like name would vanessa hoops,,,,1.0
372,bald twat nnhe cant anything tie,,url,,0.0
373,hate mongoloid voice,,user user,,0.0
374,thought love diana rossnn dresses like chinaman nnwho like sweet sour chicken,,user,,1.0
375,katsuki bakugon calls mates cuntn drives uten wears thongs flip flops everywheren illegal uies n road rage king,,,,1.0
376,dont find credible feminazi women lie vicious nasty revengeful,,user user url,,0.0
377,pl faggot,,,,0.0
378,damn retarded,,,,0.0
379,think late immigrants africa likely succeed america black americans,,,,1.0
380,definately receiving twitter top twat th,,user user user user user url,,0.0
381,sarah silverman gone full retard,,user,,0.0
382,sound retard democrat literally files moron par,,user user user user url,,0.0
383,yall niggas gay hella faggot ass shit,,,,0.0
384,yup pretty much im leaving shithole country,,user,,1.0
385,criticism soros actually attack jews nreferring globalist akin saying dirty jew,,url,,1.0
386,msnbc 7 bombs sent democrats conspiracy mongoloid right dirt bags bombs tack therefore fb,,url,,0.0
387,lemon husband jealous buntch retarded clowns,,user user,,0.0
388,illegal aliens allowed mobile phones,,url,,1.0
389,every time see fine ass dyke always mediocre fem,,,,1.0
390,nigger,,user,,1.0
391,hi still thinking mongoloid ingrate yesterday dirty snp bastard called,,user url,,0.0
392,lmfaooo nigga said nigger,,user,,1.0
393,guy mentally retarded,,url,,0.0
394,negro fumbles,,,,1.0
395,instead saying immigrants threat national security need acknowledge plenty,,url,,1.0
396,unfair need step retard game,,user,,0.0
397,truly fucking baffles people genuinely fucking think saying ching chong ling lang ding actuall,,url,,1.0
398,even fucking retard knows,,url,,0.0
399,shooter nazi leftist terrorist palestinian sympathizer,,user user,,0.0
400,twat shot sleeping lion,,user user,,0.0
401,cant stop laughing expect shithole call nigeria investors come zoo called,,url,,1.0
402,another false flag attack antifa leftist mobnnno one could expected man pictures,,url,,0.0
403,saying raghead goat one tweet insta follow standards,,user,,1.0
404,alright alright spic,,user,,1.0
405,shut retard,,user user,,0.0
406,men fucking retarded,,,,0.0
407,called donald rumsfeild raghead internet long time ago,,,,1.0
408,im man still retard,,user,,0.0
409,im calling army cute nigger society,,,,1.0
410,encourage us weve got okay white bill going,,user,,1.0
411,ryan cunt,,,,0.0
412,hes accidentally losing series cuz hes retarded,,url,,0.0
413,trevor belmont faggot yupp love,,,,0.0
414,got banned called desiinger retard,,,,0.0
415,learn speak ching chong um,,url,,1.0
416,hildebrand twat pure simple,,user user user user,,0.0
417,gebby miss mongol japon ka,,user,,0.0
418,okay white family loves,,user user user,,1.0
419,dudes started pulling eyes back started yelling ching chong outraged,,user,,1.0
420,explaining defend illegal aliens citizens,,user user url,,1.0
421,spic got eye u ingrates,,user,,1.0
422,thete nrrd call corina cunt need,,,,0.0
423,meant funny fuckin cunt,,url,,0.0
424,comes movie since saying retard unwoke replaced family friendly version,,user,,0.0
425,grandma teach children spanish reason immigrants refuse learn speak english fe,,url,,1.0
426,18 enter illegal aliens used model created bay area politicians like repl,,user user url,,1.0
427,auto tune ching chong,kpop,,,1.0
428,obviously cunt even know teams history,,user,,0.0
429,talk retard,,user,,0.0
430,fella line work takes variety aliases hell even chinaman six months,,,,1.0
431,friends retarded particular episode,,,,0.0
432,course feminazis roll one frauds,,user,,0.0
433,still fucking twat,,user,,0.0
434,todays heated debate biggest twat ashleys appointees run llambias charnley,nufc,,,1.0
435,fuck defector nla garbage town garbage fanbase nalso fuck ginger bearded twat turner,,user,,1.0
436,ching ching chong chong dookie dookie,,,,1.0
437,aint blame loss lmaoo retarded like asf,,url,,0.0
438,think jack hobbs fairly mongy though,,user,,1.0
439,b retard dangerous asshole planet shame brasil,,url,,0.0
440,know dont hire couple thousand peole fly shithole countr,,user url,,1.0
441,absolute cunt human,,url,,0.0
442,good anhur man bad luck zhong kui mid retard,,user,,0.0
443,spic polach,,user user,,1.0
444,retarded cant research sure right,,user user url,,0.0
445,family reached full retard,,user user user url,,0.0
446,r shithole countries cuz american amp european imperialist capitalism helped make failing war,,url,,1.0
447,yes bc told im deactivating fucking faggot,,,,0.0
448,hes faggot dude cant stand people like,,user,,0.0
449,fucking retard hate older people claps 4 times john mauer 2018,,,,0.0
450,feminist called fat twat,,,,0.0
451,wow middle east africa south asia shithole countries gathered together walk thou,,user url,,1.0
452,lol know mean nigger got caught,,url,,1.0
453,twat,,url,,0.0
454,people living shithole countries throw stones,treeoflifesynagogue,user,,1.0
455,lives hollywood works buzzfeed shocked combination produces mongoloid,,user user,,0.0
456,change ur fucking mongoloid,,user user,,0.0
457,thread retarded af ncheck fan page spams,,url,,1.0
458,mongoloid mongoloid scans mongodb hosts compromised held ransom,,url,,0.0
459,try hardest tweet trump lol cunt,,url,,0.0
460,either crazy retarded thin line separates could,,,,0.0
461,easily turn straight boy cock thirsty cum addicted faggot nnblack cock nnn,findom,url,,0.0
462,alec retarded,,url,,0.0
463,sarah silverman gone total retard smh,,url,,0.0
464,oh well try hard shithole countries maybe someday happen,,,,1.0
465,nigga started lagging left retard,,user,,1.0
466,omg tea using terms hurt offend used sorry idc retarded,,url,,0.0
467,chance defeat vile leftie pussy hat feminazi man hating bitter bitches brigade god help us,,url,,1.0
468,remember im negro open mind got skin door wayne,,,,1.0
469,exams passed collage thank fuck never go mongy place cheeky pay rise,,url,,0.0
470,could tell lil retarded,,user,,0.0
471,hey twitter nigger shit fuckibg bitch fucking democratic libtard nigger lover,,,,1.0
472,ur demo believing retard,,user user,,0.0
473,fucking faggot,,,,0.0
474,u talkin tae stupid cunt know ur place,,user user user,,0.0
475,love negro,,user user,,1.0
476,altered original dyke esque costume b slutty bc tristan inspires b whore n hes eve n going,,url,,0.0
477,fucking retard man sad,,url,,0.0
478,popcorn selfies stick id snap cunt,,user user,,0.0
479,hes burning funko pop like mongoloid,,user,,1.0
480,shit sooo retarded,,user,,0.0
481,wtf saying cause shithole countries collapse example destroying,,user url,,1.0
482,mom like ching chong bing bong eating bird dinner,,,,1.0
483,keep mind im negro open mind got screen door,impressive carterv,,,0.0
484,joyeux anniversaire en retard league legends,,,,0.0
485,skipping shithole cities ndetro,,user user user user user url,,1.0
486,cant say anything stem orange man bad mongoloi,,user user user url,,0.0
487,back battle bus nigger,,user user,,1.0
488,truely little mongy,,url,,1.0
489,indian academic plagued left intellectual terrorism amount hue cry would impact unless restrict,,url,,0.0
490,fucking retarded fans durrr jg lost game defense stop durrrr,,,,0.0
491,okay white celebrate australia day,auspol,,,1.0
492,beautiful life ching chong ling long,,user,,1.0
493,girl give 3 days twitter cunt puts ass lockup,,user url,,1.0
494,cannot believe im sluttyjock wrote sharing teamviewer password really faggot haha pr,,url,,0.0
495,mongoloids response pointing trump attempt president,,user url,,0.0
496,indian giver racist offensive many natives words like kike spic jap etc,,user user url,,0.0
497,cant believe spic n span van survived wearing make,,user user user url,,0.0
498,iconic factual best thing slothy little cunt said long time merry saturday filthy ani,,url,,0.0
499,somebody tell faggot ass poe square show 17 dick riders,,,,0.0
500,always nights stopped drinking feel fine morning ones cunt ya,,,,0.0
501,worry bullshit going godforsaken shithole country leave us alone ca,,url,,1.0
502,ces migrants qui veulent sinvestir pourleurope,,url,,1.0
503,would beat chink faggot,,url,,0.0
504,looks like hed call dirty spic hair long amp blonde,,user,,1.0
505,bonge always going full retard,,user url,,0.0
506,lol new spic rappers different,,,,1.0
507,ahahah wtf u hes pax messaging cunt,,user user url,,0.0
508,remove kids usa test fire nukes country mined shithole needs,,user url,,1.0
509,fucking cunt,,user user,,0.0
510,hey retard 4 injured killed,,user user,,0.0
511,debating different economic systems models go full retard claiming hy,,url url,,0.0
