,tweet,hashtags,ref_user,urls,label
65,végétarien voici rencontre éleveur mongol a fait réaliser écologie,,url,,1.0
66,plus majorité migrants venant france cherchent tout,,user user user url,,1.0
67,espère mongol essayé prouver ça sautant depuis balcon,,user,,0.0
68,rt a meuf classe pleins racisme envers arabes taleur traiter asiatique ching cho,,user,,1.0
69,golden retriever race créée blancs ching chong méritent ni chiens ni inventions,,user,,1.0
70,seulement avancée immigration islamisation visibles rues,chateaurouge,url,,1.0
71,dc maintenant dire lobby juif sioniste sachant revendique tel,,user user url,,1.0
72,bah précise demande con attardé,,user user user user user user user,,0.0
73,musée mémorial victimes terrorisme,,,,1.0
74,france inter papier repère gauchiste,,,,1.0
75,trop attardé bonheur gens laisser passer mien,,,,1.0
76,tous renois suivent raisonnement insulte perds hassanets rien,,url,,1.0
77,hashtag sonne enfin glas ideologie laxiste gauchiste predomine depuis annees,pasdevague,url,,1.0
78,mdrrrr attends vraiment cru allaient répondre attardé dit,,user user url,,1.0
79,fascinant capacite gauchistes tjrs rejeter faute autres cessez dimp,,user user url,,0.0
80,arabes empruntent zéro indiens ix eme siècle,,user user user,,1.0
81,vidéo tourne bande mongol mdrr,,user user,,0.0
82,zemmour aphatie radicalité terrorisme intellectuel autre maladie idéologies vic,,url,,0.0
83,sale juif musulmans vais salé morts manger,,user,,1.0
84,deter aller chinois ds semaine trop envie noich,,,,1.0
85,laisse tomber mongol,,user,,1.0
86,peut rien si attardé compris,,user,,0.0
87,euthanasie avortement peine mort société contre vie bat plein diable embra,pma gpa,url,,1.0
88,tres classique apres periode gauchiste redressement effectue autant plus violent period,,url,,0.0
89,violence dont produit,,user,,1.0
90,bon débarras laisse journal lemonde pleurer adepte islamisation africanisation conti,,url,,1.0
91,ça existe familles renois adopte enfants blancs,,,,1.0
92,renois accord tweet,,user,,0.0
93,ya besoin avoir 2000 personne danger rageux gauchiste suffit,,user,,1.0
94,mongol,,user user user,,0.0
95,puisqu là dessus chiffres disant arabes utilisons p,,user user url,,1.0
96,materialiste extreme gauchiste tres compatible si re,,user user user url,,0.0
97,attendre gauchiste moustachu staline ça,,url,,0.0
98,renois havre bon barges,,user,,1.0
99,tout fait accord islamo gauchiste nie antisem,,user url,,0.0
100,juste gauchiste toujours donner leçons morale,,user user user user user,,0.0
101,us 11 morts attaque synagogue assaillant arrêté néo nazi complotiste anti,pittsburgh treeoflife,url,,0.0
102,pareil tout temps violence genre assisté meurtre,,user,,0.0
103,putain tellement peur devant tant argument attardé,,user user,,0.0
104,autres moyens déployés empêcher exode migrants economiques africains décourager transit pa,,url,,1.0
105,candidate démocrate iowa interview menaces contre avortement oregon états commencé vote,,url,,1.0
106,gros mongol va porter plainte compte parodique heureusement hon,,user user url,,1.0
107,ya renois tl cest mariage franchement,,,,1.0
108,rigolais aussi quand charb allait acheter pain protection policière pauvre gauchiste demeuré,,user,,0.0
109,comprenez tout travers appelle africains franciser leurs noms,,user user url,,1.0
110,vois quoi traiter mongol insulte espèce russe,,user,,0.0
111,frères musulmans tout délire complotiste antisémite supprémaciste,,user user,,1.0
112,nikomouk sale arabe poignet tordu azzedine fdp tout trikard grand mere,,url,,1.0
113,bien migrants vivaient aussi illégalité états unis,,url,,1.0
114,mairie socialope islamo gauchiste traitre france résumer,,user user,,0.0
115,secours catholique ardent promoteur ensauvagement islamisation europe catholicisme dévo,,url,,1.0
116,connaissez autre mot extreme droite madame gauchiste ca fait peu cuc,,user user url,,0.0
117,islamisation france pleine expansionle résultat infiltration musulmans ds ts strates,,url,,1.0
118,grèce augmentation nombre enfants réfugiés migrants,,url,,1.0
119,dois mongol,,url,,0.0
120,rebeus glo fac grâce barbe,,,,1.0
121,latinos renois,,url,,1.0
122,également laissé entendre islam terrorisme tranquillou samedi soir chaîne,,user url,,1.0
123,eh bin restes oran sale arabe,,user,,1.0
124,tutos français youtube insupportable 3 4 vidéos mecs parlent comme si attardé,,,,1.0
125,alors pourquoi cette condamnation faute justice gauchiste mauvaises fréquentations ête,,url,,1.0
126,dirait gros daron antillais derniere,,user,,0.0
127,plutôt déçu début s6 house cards attarde trop héritage francis assez évo,,url,,1.0
128,ah arrive gauchiste supportant puisse avoir avis different bon blocage faites plaisir,,user user,,0.0
129,ptdrrrrr aps pck fait rt dès truc sais plupart renois,,user user url,,1.0
130,gauchiste comme dis jamais considere gauche,,user url,,0.0
131,tue meme offset marre cardi b wallah apars reuss personne peut supporte cette grosse mongol,,,,1.0
132,ah oui tryptique immigration délinquance terrorisme conforté nombre attentats,,user url,,1.0
133,ferme gueule renois fake woke ptn,,url,,1.0
134,arrêtez crier invasion quand méditerranée devenu cimetière majorité mig,,url,,1.0
135,tkt mongol,,user,,0.0
136,pro wallah cause tous vu comme mongol,,user,,1.0
137,ouais si arabes perdu ailleurs aussi parce,,user user user url,,1.0
138,chemins montagneux 1700 nouvelles voies empruntées migrants africains rejoindre italie,,url,,1.0
139,tout comme allemand mène nazisme quel attardé mec,,url,,1.0
140,quand croise rebeus,,,,1.0
141,mdrrrrr engage sale arabe,,user,,1.0
142,inviter arabes noirs plateau télé p,,,,1.0
143,vlog attardé ancienne,,user,,0.0
144,renois rennes savent courir,,,,1.0
145,train nettoyer chambre savez quoi attarde plus rangement makeup,,url,,1.0
146,quelle forme violence pose juste question savoir q,,user user user user url,,0.0
147,série agressions violence faits trop peu nombreux corse,,url url,,1.0
148,bah meilleur mensonges naïf attardé croit loi,,user user user user url,,0.0
149,déteste alain soral raciste antisémite complotiste manipulateur,,user,,0.0
150,si voulez avis patient mike doit canaliser tout amour sous forme violence,,user,,0.0
151,probleme gauchiste profond peut rédiger tel tweet gauche maladie mentale,,user user user,,0.0
152,blabla politicard attardé cherchant buzz,,user user,,0.0
153,mongol,,user user user user user user,,0.0
154,bon renois retourné chez h amp depuis cinéma là,,,,1.0
155,bouahahhaa branle cosplay sneaky cet attardé,,user,,1.0
156,finir cruelle imposture migrants 4 4 abbé olivie via,,url user,,1.0
157,non quoi mongol macron vit quel monde,,,,1.0
158,èlement sociale piratage informatique vandalisme auto,harc,,,0.0
159,histoire bi llahi alala hommes vrais mongol plus part,,url,,0.0
160,mdrr dirait mien dois réanimer toutes 5 minutes mongol,,user user user,,0.0
161,helicoptere attarde mental,,user,,1.0
162,jeu chui attardé ui,,user user url,,0.0
163,matrixé juste attardé gros fdp,,user user,,0.0
164,mdrr fallou mongol vrai saï saï regardez deal pose animatrice,,url,,1.0
165,rilès quand lâche 2 3 mots rebeus sons mtue,,,,1.0
166,faut vraiment être attardé mentale dire projet post malone album année,,,,1.0
167,quoi dire sale arabe relève dénonciation légitime,,user user user user url,,1.0
168,là voit réfugiés parce pays moins machette,,user,,1.0
169,rire mongol lucas tout bourré,,user,,0.0
170,merde juifsmerde arabesmerdes blancs noirs humains point tout,,user user,,1.0
171,putain gars quand jeune gauchiste pouvais voir peinture fdp,,user,,1.0
172,rebeus files flingue grosse cylindrée sentent plus pisser,,user,,1.0
173,genre rap mongol vaut détour,,url url,,1.0
174,comme tout bon gauchiste respecte préférez critiquer fait parlé type,,user url,,1.0
175,gvt a intention expulser mineurs marocains leurs fami,grandremplacement madrid migrants,url,,1.0
176,nasser kiffe rebeus cherche,,user,,0.0
177,ras bol massif islamisation,,url,,1.0
178,faut poser question france veut encore plus violence agressions car,,user user url,,0.0
179,qué mongol germain court jusqu champs élysée lieu rester placé devant cages,,,,1.0
180,diarrhee gauchiste pls,bolsonaro,url,,1.0
181,vive rebeus,,user url,,1.0
182,pensez rebeus renois aiment réellement,,,,1.0
183,meufs renois grosse ultra rare jai limpression,,,,1.0
184,copain peu bizarre celui aime bien malgré fait peu attardé,,user,,0.0
185,dirait renois êtres humains vu comment parle,,user,,1.0
186,2 2 predateurs mangent aussi gout renseigne chat exemple,,user user url,,0.0
187,grèce transferts réfugiés migrants vers continent accélèrent,europe france,url,,1.0
188,40 années laxisme gauchiste,,url,,1.0
189,déteste sale arabe,,user url,,1.0
190,utopie gauchiste,,,,0.0
191,attardé marque,,,,1.0
192,aimes bien rebeus rien contre mdrr,,url,,1.0
193,absolument rien compris viens dire école espèce attardé,,user user user user,,0.0
194,merci insulte,,user user url,,0.0
195,joséphine arrive pecho rebeus couleur cheveux mdr sous estimez beaucoup trop,,url,,0.0
196,rt logique gauchiste,npc npcmeme,user url,,1.0
197,tout rebeu renois éric zemmour faire dépression quand gagné coupe monde,,user user,,1.0
198,ostie mongol,,user user,,0.0
199,bz morts sale juif,,user user user,,1.0
200,soral dieudonné juifs e,,,,1.0
201,sunnites autorisent meurtrespédophiliepolygamie violence contre femmes etc tous pays,,user url,,1.0
202,normalement afrique dirigent doivent utiliser 50 dictature 50 démocratie,,,,1.0
203,vu métisse quand traine groupe renois disent tous sui,,,,1.0
204,complice diras gauchiste pareil,,user user,,0.0
205,normal aucuns blancs veux arabes cette salle race veux aimes,,user user url,,1.0
206,ça dépend vas sicile vu mal renois air dégouté,,user,,1.0
207,sauf rebeus utilisent terme qualifier fille prostituée,,user user url,,1.0
208,vraie question france veut encore peu plus violence,,user,,0.0
209,aussi complotiste anti vaccin,,user,,0.0
210,lyon trop petits rebeus qualité,,url,,1.0
211,semblerait ramené parasite dis maladie vénéri,,user user user url,,0.0
212,ok mongol range chambre,,user user user,,0.0
213,arabes quand malades faute mauvais œil,,url,,1.0
214,mieux beat box mongol branche enflammée,lfauit,,,1.0
215,avoue gros troll mongol x,,user user user,,0.0
216,fils putes autant quand aime noirs arabes,,user user,,1.0
217,é mongol,,user user,,0.0
218,renois pote jaymax là,,user user,,1.0
219,différentes idéologies pu employer terrorisme moment opportun revanche islam politique,,user url,,1.0
220,chasseurs cette annee attardé quoi dingueries bon tant noirs,,url,,1.0
221,couillon gauchiste vrai cretin genre casse,,user user,,0.0
222,tiens blague mongol égayer lundi,,,,1.0
223,mskn bat couilles bassem raconte ça vie nombre cas social chez renois frère,,user user,,1.0
224,plus fait communauté musulmane rohyngia tous dirigeants arabes réunis,,user user url,,0.0
225,wallah cinéma rebeu crier tous monde répondu oh ferme gueuke va niker apres e,,url,,1.0
226,ok attardé,,user user user user user,,0.0
227,toute franchise quel origine keske pense parents rebeus general,,,,1.0
228,paris centre hébergements réfugiés ouvre 16e via,,url user url,,1.0
229,oui juifs ashkénazes qi moyen très élevé p,,user user user url,,1.0
230,voisin dessus psg mongol vient faire énorme hurlement criant mbappeeeeee o,,url,,0.0
231,noirs milieu rebeus technique lyon ça,,url,,1.0
232,châtelet gare nord croise renois tysmés survêt teinture blonde flm,,,,1.0
233,sacrilege gauchiste ultra gauchiste 30h voire 24h 3x8 smic a,,user user url,,0.0
234,texte idiot sans doute ecrit prof gauchiste,,user user user user user url,,0.0
235,ptdrr débat attardé entre panarabiste nationaliste marocain,,,,1.0
236,aimerais bien savoir pourquoi islamogauchiste ennemi principal,,user user url,,1.0
237,1967 guerre six jours manifestations monde soutien état juif,,,,1.0
238,regarder attardé ptn merde 2019,,url,,1.0
239,depuis quand besoinde tv etre informé putain mongol ca fait peur,,user user user,,0.0
240,kabyle renois,,url,,1.0
241,ah putain encore plus attardé fait,,user user,,0.0
242,critique 5 stp 16 a renois font sucer,,user,,1.0
243,point immigration islam terrorisme arabe marine pen maintenant heuuu wauquiez,lemissionpolitique,,,1.0
244,cergy rue nus agressant sexuellement femmes battant quand elles refusent ca,migrants,url,,1.0
245,kevin bat tous rebeus moustache pr mieux froisser berka é,verit,,,1.0
246,sim eh outro nivel mongol,,user,,0.0
247,minimisent totalement harcèlement etc avoir taffer reste carrément choquée manière dont,,url,,1.0
248,prefere violence libre préfère fin,,user user user user url,,0.0
249,ça tombe bien territoire recrute moûtiers 19 réfugiés arriveront début octobre,,url,,1.0
250,jpp putain mongol tommy,,user,,0.0
251,mdsdois mongol,,user,,0.0
252,bh gros mongol quoi drol nab,,user,,1.0
253,clandestins armés affrontent devant fac éco gestion expulser urgence,migrants marseille,url,,1.0
254,daronnes renois elles parlent yeux mdrr,,,,1.0
255,jz trainais rebeus footeux,,user,,1.0
256,putain écrit comme attardé incroyable,,user,,0.0
257,légende renois toujours excès,,user,,1.0
258,sauves migrants,,url,,1.0
259,chama mongol satanas,,user user,,0.0
260,absolute mongol,,user,,1.0
261,rt hier parlais intello gauchiste a dit nnfaut bien reconnaitre seule religion aujourd hui pose,,user,,1.0
262,èce transferts réfugiés migrants vers continent accélèrent,gr,,,1.0
263,comme juif con sale,,user user,,1.0
264,série agressions violence faits trop peu nombreux corse,,url,,1.0
265,ben alors arabes donnent sous unrwa reste monde oui ça donne sous ça récupèr,,url,,1.0
266,vais refaire plaisir prof gauchiste gagne misere critique autorite quand,,url,,1.0
267,être gauche voir gauchiste crime non plus,,user,,0.0
268,77passe dire bjr cousinson ami gauchiste fait conakry 1958memel foteh disaitpr rel,,url,,1.0
269,2 mongol,,user,,1.0
270,ca problrme arabes essaye detre sympatique direct violence apres ca minsulte qd jvote fn,,user,,1.0
271,liverpool islam psg terrorisme fuck nasser,,,,1.0
272,renois délires darkskin lighskin kinkin skin foison font trop rire guignols classification,,,,1.0
273,charente libre adopte loi expulser plus vite migrants conseil ministres italie,italie,url,,1.0
274,attardé bogota,,url,,1.0
275,gros dirait mongol sorti 3 fois chez trouver air avoir,,user url,,0.0
276,petite pensée rebeus font contrôler 8 fois semaine sachez benalla va acheter chaque matin,,url,,1.0
277,contre avortement tout,,url,,1.0
278,jvais changer mongol,,user,,0.0
279,mongol lève 4h pointe boulot alors vacance,,,,1.0
280,mongol,,user user,,0.0
281,indecrottable gauchiste e,,user user,,0.0
282,weeeee joyeux anniversaire sale juif,,user,,1.0
283,wallah wallah axel trop marrant mongol régale,,,,0.0
284,peut imposer 4x4 pue caractère pourri imbécilité violence chat incontinence a,,user url,,0.0
285,sais très bien pouvais citer origines tt renois logique,,user,,1.0
286,pq vois states renois saute eau chaussettes tout mdrr,,,,1.0
287,drame a qd traite mongol pe,,user user user url,,0.0
288,ailleursil mec classe vrai 2001 attardé filles prennent nudes putes forc,,url,,0.0
289,société médiatique française très branchée multiraciale multiculturaliste pro migrants pro immigrés dan,,url,,1.0
290,musiques rebeus ça remonte moral,,,,1.0
291,dieu ca doit etre formidable avoir cerveau gauchistes,,user user user url,,0.0
292,mongol supporter foot donc sous chien amoureux islam bave,,user user user,,1.0
293,empêche sans faire intellectuel faut vraiment être sacrément attardé bas mentalement aimer regarder,,url,,1.0
294,sauvé être tres cher maladie croyait mort sais dieu a ramené,,url,,1.0
295,attardé rédigée cette loi merde,,url,,0.0
296,tout sacré raccourci relier rothschild théorie complot antisémite,,user url,,1.0
297,conférence tintin pays arabes,,url,,1.0
298,endoctrinement gauchiste fonctionne plein pot cliches pille leurs richesses,,user url,,0.0
299,tout jours negro fridayyyyyyyy,,,,1.0
300,grèce transferts réfugiés migrants vers continent accélèrent,,url url,,1.0
301,non connais juste commentaire partages tout fièrement prouve juste attardé oser rigoler,,user,,0.0
302,vu mgl réuni sœurs tiramisu rebeus dégradés pp mangas lgbt hagar,,user,,1.0
303,t4 prison lab permet appréhender peu mieux organisation cette expérience malsaine attarde bea,,url,,1.0
304,islam interdit terrorisme manière plus claire,,user user user,,0.0
305,kinkinkin préfère trompe tout court attardé quoi comme si jvous dit oa,,url,,0.0
306,grosso modo ouïghours peuple turc turco mongol musulman bien,,user user url,,0.0
307,ouais bien met chaussure gauche pied droit jui attarde non plus fdp,,user user user,,0.0
308,quand fait choc civilisations base lutte contre terrorisme revigore at,,user url,,0.0
309,témoin empreinte presque trois cents ans existence cumulées empire mongol horde or,,user,,0.0
310,ps el acquiaissais tout el disait el disait russe laisser tomber faut ps,,user user url,,0.0
311,mal,,user user,,0.0
312,gngn mongol tveu jle dise comment sans citer moins 1 fois,,user,,0.0
313,cc,,user user user user user user,,1.0
314,écoutant cette chanson entier rend compte influences arabes grâce sonorités utilisées fond,,url,,1.0
315,terrorisme intellectuel lobby homosexuel mairie paris parle,,user user,,0.0
316,juste lu onfray gauchiste arrete,,user user user,,0.0
317,plus gros attardé,,,,1.0
318,islam valide terrorisme oppose fait daesh absolument e,,user user url,,1.0
319,g envie pleurer pourquoi darons renois comme ça,,url,,1.0
320,vois donc être contre avortement être contre liberté femme cela a aucun rapport,,user url,,0.0
321,cette gauche bouffe curé longueur journéequi abreuve anticléricalisme depuis décenniesvien,,url,,0.0
322,mdrrrr sale arabe,,,,1.0
323,tous gens refusent céder terrorisme intellectuel ça doit effrayer plus,,user,,0.0
324,28 septembre journée mondiale droit avortement contre tentatives réactionnaires re,,url,,1.0
325,dire halal casher halal gauchiste garde silence parlant communauté opprimée,,url,,1.0
326,lorsqu vont traîter sale arabe fait désordre f,,user user user user url,,1.0
327,att mongol,,user user url,,0.0
328,gros attardé,,url,,1.0
329,eh nn ct mongol,,user user user,,0.0
330,renois leurs flow tellement douceur yeux,,,,1.0
331,macron annonce création musée mémorial victimes terrorisme via,,url url,,0.0
332,contre avortement,,,,0.0
333,rothschild grande finance rothschild juif inconscient collecti,,user user url,,0.0
334,jamais froid peur noirs arabes peur froid aller hop refait matinée,,,,1.0
335,partisans romance dérive gauchiste,,url url,,1.0
336,traversent mer trouvent aides sociales,migrants,,,1.0
337,rt zohra madame islamo gauchiste rigolent blancs asservis dhimmis,,user user user,,1.0
338,jme met privé casse pieds gros mongol cite,,,,1.0
339,doit mongol oui oui cœur,,user user user user,,0.0
340,vegans sons attardé font manipulation forme secte,tpmp,,,1.0
341,jour a dis si jt arabe mdr jspr ça reproduira plus mm si rebeus waw abusons,,url,,1.0
342,pays attardé,,url,,1.0
343,bien accord jamais intolérance gauchiste a aussi violente complicité gouvernants gra,,url,,1.0
344,ua sert rien financé occident dicte conduite crise migrants ua,,user url,,1.0
345,aime trop acheter kebab tous darons rebeus lâchent starfoullah quand débarque,,,,1.0
346,extrait a lacrim cri comme mongol crois flow 69 ptn,,url,,0.0
347,si considère nature pense contre avortement bien entendu,,user user,,0.0
348,gauche pro islam antisémite jamais dignité respecter morts,,,,1.0
349,trump réduit encore accueil réfugiés états unis,cegepgimheu,url,,1.0
350,demande bien fait mettre mante fait chant mongol,,user,,0.0
351,meilleure amie sort enfant attarde aime neige,,url,,0.0
352,a bcp renois quand mm parmi folles,,user user,,1.0
353,quand évêques bataillent contre pma pourquoi avortement contraception provoqueraient gé,,url,,1.0
354,sauras ca appelle chaine alimentaire apprend ca ecole,,user,,0.0
355,comme habitude pauvre petit bonhomme élections afrique,,user url,,1.0
356,plein animaux voie extinction donc dit merci merci mussoli fermier,,user user user,,0.0
357,mdrrrrr meuf côté grave raciste dit ouais potes renois ça étonne q,,url,,1.0
358,complotiste espèce humain comprenant pleins sous espèces ya chemtrail anti vax illumi,,url,,1.0
359,quand experts arabes éclairent islam xxème siècle gt dirigé épuration mecque nou,arabiesaoudite,url,,1.0
360,présidents azerbaïdjanais mongol rencontrent bakou,,url url,,1.0
361,vient religion,terrorisme,user,,1.0
362,petit cochon capitaliste pro dictatures islamo nazies maçon complotiste pervers anti peuple celto romano francs,,url,,0.0
363,mdrrrrrr sale arabe,,user,,1.0
364,devais commencer 8h15 encore tram ça fout haine psq toujours renois am,,url,,1.0
365,a gens aime bien puis après apprends homophobes contre avortement racistes très bien,,,,0.0
366,lis surtout papiers signés philippe leclercq attarde p,,user user user url,,0.0
367,dois mongol,,user user,,0.0
368,plus mois avant revoir cet attardé enfin,,,,0.0
369,chacun goûts beauté reste subjective certaines renois mettent baffes,,user user user url,,1.0
370,fait 15 bande attardé,,user,,0.0
371,ben exactement,,user user user,,0.0
372,déteste président gros enculée donne emplois réfugiés personnes comme ch,,url,,1.0
373,dis qualifier violence dégradations sabotage,,user user user url,,0.0
374,bénédiction cher gauchiste,lrem,user user user user user user url,,0.0
375,bah jsp aime bien renois bah oui communautarisme,,url,,1.0
376,mdrrr bah putain vrai mongol,,user,,0.0
377,alors espece abruti profond etre humain sommet chaine alimentaire donc pauvre con,,user url,,1.0
378,feuilleton bêtisier 3 cohn bendit parlant jlm complotiste anti macronien normal vu formation trotzkiste,,url,,1.0
379,va faire soigner attardé,,user user user user user,,0.0
380,non sarcasme mongol vraiment fini,,user user user user,,0.0
381,mongol ace,,,,1.0
382,attarde relation chaotique entre pouvoirs judiciaire politique,justice,user url,,1.0
383,nan cause clarie cause sale arabe mdrr,,user user user,,1.0
384,lion mange viande meme si essentiel donc cal,,user user url,,0.0
385,ptdrr raconte cet attarde encore parle quartier comme si etait anarchie pleure,,url,,1.0
386,si ni droite ni gauche situes certainement extreme droite prefere etre gauchiste,,user,,0.0
387,comment aime samoa joe dirait mongol insulte famille aj pffff let go aj styles,catchnightab,,,0.0
388,commentaire gauchiste économie américaine porte mieux jamais taux chom,,user user url,,0.0
389,1vs1 peux rien contre sale arabe,,url,,1.0
390,brefffffffffff attarde plus psq aller rester point vue mien donc revoir,,user,,1.0
391,philippe 1 gauchiste indignité anti louvoie selon client,,user user user,,0.0
392,ouaip dur comprendre 16eme paris intramuros quand seuls vac,,user user url,,0.0
393,meuf 30 ans vient lâcher unsale arabe merdeà mec parce roulait trop vite vélo,,url,,1.0
394,ça passe europe danske bank 1ère banque danoise plaque tournante argent sale russe via estonie,,url,,1.0
395,peux empecher penser meme mecanique faux compte gauchiste provocateur,,url,,1.0
396,comment sortir débat contre avortement entrer dialogue écoute amour co,,url,,0.0
397,ptdrrr va voir cortège liverpool ultras psg dit nombre renois,,user user url,,1.0
398,omg vrm trop conne relis phrase pcq air peu attardé bords,,user,,0.0
399,ds campagnes macron met 72 migrants village 400 personnes vont aller,,user url,,1.0
400,disait faut etre attardé mental ecouter koba,,user,,1.0
401,pensee saine normale sonia ideologie gauchiste mondialiste immigrationniste suicidaire,,user,,0.0
402,américains scotchés tv enjeu dc sociétal sexisme avortement aussi politiq,,url,,1.0
403,attarde moment sentiments naissants devant gris jour dis incroyable ê,ciel,url,,1.0
404,ohlalala jv taper prépa comment ça jreçois facture internat gros mongol vois jsuis ja,,url,,1.0
405,ozil mongol invente vie,,url,,1.0
406,phobie rebeus veulent tout prix france accepte,,,,1.0
407,regarde dernier mongol cité,,user,,0.0
408,oh dieu non bloquage supreme,,user user url,,0.0
409,pourquoi contre autistes trouve ça débile faire sorte chose obligatoire,,user url,,0.0
410,migraction 59 faveur migrants calais via,,url user,,1.0
411,bon mariage a renois juste assis face lunette soleil oklm 21h48,,,,1.0
412,cet attardé mental diplôme donnez emploi chômeur,,user,,1.0
413,lis tweet rt espèce mongol avant ouvrir vieille gueule,,user,,0.0
414,250 millions réfugiés climatiques 2050 prochaine grande crise,,url,,1.0
415,donc qd traite quelqu 1 sale arabe normal qud arabe traite qlq 1 sale blanc normal,,user user,,1.0
416,crois attardé rassurée vivant ça tous déjà vue pub télé,,user url,,0.0
417,face cell putain boulet indéniable mongol fait p,,user user user url,,0.0
418,quel match mongol,imfc,,,1.0
419,ça appelle islamisation,,user user user,,1.0
420,président pire fils pute terre tous rebeus autour contents pcq,,url,,1.0
421,bonne partie harcèlement scolaire viens professeurs véritable exutoire certains pourquoi,,url,,1.0
422,tin attardes ching chong,,user,,1.0
423,putain jvien comprendre punch middle tous ceux douté jsuis vraiment attardé,,,,1.0
424,comprendre racisme anti noir structurel chez certains arabes ouvrez génocide voilé,,user url,,1.0
425,vs vs rendez compt jrisk sauter pcq jecrii com mongol jui deg,,,,1.0
426,découvrez solidarité femmes burundaises association bat contre,burundi violencessexuelles,url,,0.0
