,tweet,hashtags,ref_user,urls,label
8940,baladez balade juillet aaaa sort beaucoup suivent plaît besoin plus adeptes,,,,0.0
1221,compare gars attardé car écoute pnl,,user user user user,,0.0
11850,yay you rock,,,,0.0
348,gauche pro islam antisémite jamais dignité respecter morts,,,,1.0
12941,travail maillot chillin alors attends impatience week end,,,,0.0
8310,vision contrarienne stratégie,,,,0.0
932,toujours vas trop loin,,user,,0.0
3835,ptdr 36 ans joue encore ado attardé,,user,,0.0
708,listo mongol ya trollié mi duo minglee,,user,,0.0
7290,sais starkers comme cher enfant,,,,0.0
9844,salut tout monde allez suivre parce gars assez gentil,,,,0.0
2617,gars qi sest immolé devant palais qe terre légèremais acte mérite sattarde peu su,,url,,1.0
12207,zac air tellement triste bon sourire méritez,,,,0.0
7555,jour après école demain si heureux faire 4 km,,,,0.0
13849,travaillant guide cadeaux équilibré journée mères donne maman cadeau signification cette année améliorera santé bonheur,,,,0.0
10160,difficile commencer faut années obtenir ceinture noire faites savoir si besoin conseils,,,,0.0
10930,temps éteindre aller dormir grand jour bonne nuit tous,,,,0.0
988,a dit étoile sale juif xd,,user,,1.0
6349,salut première publication twitter alors espère ça marche ok mbt r fab dommage peux porter 2 bon jour,,,,0.0
2442,rt fachosphere ete inventee conosphere gauchiste cours arguments survie peut,,user url,,1.0
6244,hahahaha génial,,,,0.0
693,calla mongol,,user,,1.0
2427,bienvenue où migrants africains complètement nus agressent sauvagement françaises,cergy,,,1.0
5391,style turc ek sure re,,,,0.0
6478,pense temps myspace eedit fais faire ailleurs écris journal amelia,,,,0.0
9423,lalalalove pourrais vraiment dormir soir,,,,0.0
1402,vers pays origine merkel satisfaite après visite juge,expulsion migrants alger,url,,1.0
10389,aime miley montée chanson fantaisie,,,,0.0
12724,rempli demande voir passe ww 5thgrader com via,,,,0.0
410,migraction 59 faveur migrants calais via,,url user,,1.0
4659,train cuire hahaha abby nikki,,,,0.0
5054,prendre douche,,,,0.0
11584,bon bon dormir fait fois comme 9 heures suppose oublié dormir p,,,,0.0
3544,nn ami frustré faite sale arabe va bon ntm flemme parler tell,,user user url,,1.0
7286,hola fais,,,,0.0
4142,merci pu faire sans,,,,0.0
9338,mercinull,,,,0.0
7406,brap brap brap twitty twitty twitty,,,,0.0
3684,va tous unfollow gentillement sale arabe,,user,,1.0
8002,travaux cours,,,,0.0
6058,dum di dum peut dormir peut faire jambe stanky fml,,,,0.0
5334,aries peter luke,,,,0.0
5773,excité avenir mi promisin besoin nettoyage spirituel prie puis dormir nuit,,,,0.0
12391,oh,,,,0.0
3019,bassirou envoie vidéos bagarre dit kiffe quand voit renoi boire rebeu bagarre sale raciste,,,,1.0
11372,idée merveilleuse après tout cvtf500 tout propos promotion talent alors quelle meilleure histoire soutenir nouvelle carrière,,,,0.0
12397,sais si fait musique encore aujourd hui fait 30 minutes échelles peut être arriver musique bientôt haha,,,,0.0
478,stop rebeus training foot queue cheval teinture où venez bordel,,,,1.0
1717,anti islamisme anti radicalisme terrorisme extrémisme anti i,,user user user url,,1.0
13092,défaisi jamais propriété spot,,,,0.0
6345,bonjour préparez conférence téléphonique but proposer points amélioration coopération interne venez idées,,,,0.0
13551,devriez venir ici visiter beaucoup soleil espère tout va bien,,,,0.0
4032,rattrapage courriels rss retour aléatoire alors coupe tôt soir 11h30 diner,,,,0.0
3554,éducation gauchiste enfant roi,,user user,,0.0
13674,eh bien aime simplement aider gars semblent parfaits habituellement ceux plus cacher hey ici tout moment,,,,0.0
2294,europe menu carte lance macron pays refusent accueillir migrants,,url,,1.0
10168,veut paul améliore bientôt lt 3,,,,0.0
1260,doit mongol niveau 8 échelle richter laisse tombé vaincus,,user user user user,,0.0
8572,vie voiture carrée piscine ami,,,,0.0
9690,hmmm également problèmes équipe cricket groupe arrogant démarrez w r icky,,,,0.0
7016,aujourd hui terminé toutes devoirs juridiques psychologiques fais actuellement devoirs santé essayant faire tout soir,,,,0.0
10963,ohhhhh espère mien vient sooooooooooooooooooon ça a air génial donne regard,,,,0.0
10885,fait travailler matin semble soleil essaye trouver peut être semaine prochaine bonjour,,,,0.0
5039,fait toute préparation commençant révision maintenant examens signaux systèmes aujourd hui souhaite gens chanceux,,,,0.0
9590,ressemble plan homme fera sûrement,,,,0.0
243,point immigration islam terrorisme arabe marine pen maintenant heuuu wauquiez,lemissionpolitique,,,1.0
12814,continuez bon travail spectacle aujourd hui adore tweets manques ouest tellement beau,,,,0.0
11089,peux attendre vendredi viens voir enregistrement savez invités vendredi encore attendant,,,,0.0
11988,joyeux anniversaire grand père a 3 chats aime toujours,,,,0.0
2684,base oui mtn beaucoup juste bêtes foire attardé extrémiste,,user url,,1.0
7087,ooooh,,,,0.0
5778,trouve tweets extraordinairement constamment positifs compte tenu dernier tweet pourrais prendre page livre,,,,0.0
797,rt adepte lieu commun gauchiste,,user user user,,0.0
429,ca malade ri esti coup commentaire mongol lol,,user user,,0.0
7787,passé coup soirée show lily allen soir génial,,,,0.0
9275,également heureux être renpro familiarisant toujours leurs nombreux outils formation,,,,0.0
12453,haha évalue moment,,,,0.0
10714,yay retour travail,,,,0.0
5927,assez lugubre aujourd hui aussi beaucoup ri dire simplement,,,,0.0
5416,tous jours maintenant partageons lecture a lu page lu autre 7 ans,,,,0.0
9989,twittage iphone,,,,0.0
13481,aww manquez aussi sûr tout cela non plus diable apprenez comme allez,,,,0.0
12662,préparez aller garder enfants préférés yay,,,,0.0
675,loise mongol,,url,,1.0
10219,plein victoires voulais juste faire savoir,,,,0.0
4390,rejoint société shoedazzle excité peux attendre sélection chaussures lien,,,,0.0
13205,perte 2 gars énorme faut affaire temps appeler weber pp amp prix prendre peu nyquil,,,,0.0
4807,gefelicidingest,,,,0.0
1788,mongol,,user,,1.0
2126,ainsi lettre recommandation gauchiste chaud près chez,,user,,1.0
2246,ouais mongol marseille,,user user,,0.0
1589,ça fais longtemps vu arabes sens dépaysée,,,,1.0
4022,ah félicite mr fletcher finalement rejoindre twitter,,,,0.0
4330,fabuleuse publication wordahead a aimé blog général,,,,0.0
2920,faisant généralité crée amalgames chakal cas précise certains mecs renois,,user,,1.0
6428,hola oui jours bon chevalier,,,,0.0
4296,veulent heyyyyyy brancher lol,,,,0.0
7023,attend impatience,,,,0.0
1009,terrorisme intellectuel subliminal,,user,,1.0
6299,merci apprécie cela,,,,0.0
2150,meuf renois twitter pires cancers cachez,,url,,0.0
13650,dieu si tous 5 là téléphone exploserait ferais vraiment rien faire 3 out 5 mauvais,,,,0.0
10966,nouvel album hip aujourd hui mien arrive vinyle semaine prochaine,,,,0.0
3068,renois naïveté va tuez rebeus haine va abattre babtous hypocrise va pendre,,,,1.0
5707,vient poster blog être célibataire va vérifier,,,,0.0
4050,awww pookie sent mieux prierai sachez infirmière,,,,0.0
7841,contrôlais site web rendais compte tous deux magazine extreme elan commun,,,,0.0
11621,café prêt vais montrer maisons matin pouvez toujours rejoindre cellule passez bonne journée,,,,0.0
4120,juste bon moment sais rien,,,,0.0
3674,écran air traiter attardé trompe,,user,,0.0
968,tv liberté trop gauchiste invite,,user,,0.0
3069,raciste tout sans rebeus renois sfais chier,,url,,1.0
10661,alors pleuvoir donne temps libre,,,,0.0
10751,attend impatience voir version semi acoustique faite maison soleil eau éloge,,,,0.0
2415,muriel robin confie combat contre violences conjugales devenu évidence après avoir incarné jacq,,url,,0.0
8844,peut être juste chose côte ouest toute façon aujourd hui dérange bonne photo,,,,0.0
4601,homme charmant cuisine dîner ensuite promène,,,,0.0
5242,ok miss kat williams lol ive a fait,,,,0.0
5444,va origine i amp iii ah oui merci mr rudd billets avion impossible attendre,,,,0.0
1231,bon tg force sale arabe,,user,,1.0
1812,cul sale fdp taousi gagné titre africain wac,,user user,,1.0
9162,parents parents hkg oui frères sœurs non peux lire écrire chinois,,,,0.0
12731,hahahahaha visage souriant émotion,,,,0.0
9782,bonjour où tweeting ailleurs,,,,0.0
4318,félicitations peru incroyable sans voix merci beaucoup viens ici jour attendez toujours sérieusement,,,,0.0
6424,photo senior,,,,0.0
13484,bonjour tous espérons tout monde passe bonne journée,,,,0.0
3451,oh espèce mongol seul joueur respecter cavani neymar celui donné jamais b,,user url,,0.0
3538,ok mots traites mongol,,user,,0.0
6472,eleonoraelitoday b day yay souhaite certaines célébrités souhaitent bonne journée xp haa xd ça arrivera jamais,,,,0.0
8776,aime beaucoup esprit maotai,,,,0.0
10121,joie cyclisme travail matin fantastique dois faire vélo soleil,,,,0.0
3757,3 rapport avortement peut être simp,,user user user user user url,,0.0
11443,oui a évacué vaut peine,,,,0.0
1795,foutaise coup finance grande crapule gauchiste,soros,user,,1.0
5808,lettre toujours coréens utilisent quot x quot donc a espoir,,,,0.0
1440,absolument contre avortement surtout contrace,,user user url,,0.0
12867,tellement bon amusement grandis,,,,0.0
4586,p payé patron soeur autour,,,,0.0
7552,réponse flickr smugmug modifiée va faire autrement exposition via flickr profil smugmug permet vendre,,,,0.0
5579,bonjour gens magnifiques café amp soleil,,,,0.0
11455,première tentative pense aime gravure,,,,0.0
13354,hey hey hey vient rejoindre twitter ressemble bonne chose,,,,0.0
2346,donc sale arabe injure simple constatation,,url,,1.0
11398,a prévu lier haha quelle vie,,,,0.0
13656,battre pote geek 70 tous hail han tirés abord,,,,0.0
13345,belle soirée meilleur petit ami deux très bons amis,,,,0.0
2601,islamisation france,,,,1.0
6953,parle haha oui multitâche cadeau paresse vient tout juste avoir meilleur savez excuses,,,,0.0
10392,fais rire,,,,0.0
6498,gonzo suite dernière publication,,,,0.0
1487,tout temps meufs rebeus 30 ans célibataires genre problème,,url,,0.0
6542,travaillé intégration twitter page web,,,,0.0
7304,peut être besoin plus souvent lol,,,,0.0
12125,tout obtenu récession vin nulle,,,,0.0
9623,bonjour kim rien passé soir heureusement,,,,0.0
1255,prof utilisé photo cours violence école ptdr petite victime,,user url,,0.0
12996,aussi chère,,,,0.0
3522,pauvre attardé humour peut faire importe quels supports évidemment,,user user url,,0.0
7108,jinro chamisul soju toutes étoiles savon coréen absorbent,,,,0.0
10273,excellente journée jeu sox,,,,0.0
1804,migrants veulent passer soirée elysée espérant être régularisé comme mamoudou héro,,url,,1.0
8584,vient créer nouvelle icône fluide utilisation,,,,0.0
2632,après va dire renois sauvages honte,,url,,1.0
8865,salut hotbabe travail site rob33n,,,,0.0
5597,oui sûr,,,,0.0
1349,ensuite vais parler pnl oula alors faut jm attarde trop pcq a beaucoup dire encore,,url,,0.0
3655,imagine étymologie comme mongol gt golmon gt golbute gt golbuterie technique,,user user user,,0.0
7996,presque maison complète aujourd hui atmosphère agréable,,,,0.0
7580,sweetheathat,,,,0.0
9752,cool voyez tout rapproche terminé avant sachiez,,,,0.0
8506,merci fr doc connecte wc td lps réinitialise mot passe balik,,,,0.0
8525,heureux entendre faites changement déçu,,,,0.0
13559,a décidé aller shidesign commentaires achats cours bienvenue,,,,0.0
10023,concentrer lumières ensemble scène,,,,0.0
2089,ca juste parce attardés place supporters devrais,,user user user url,,0.0
8632,baise peux dormir faire courses aujourd hui,,,,0.0
6323,fêtes salon tellement amusantes,,,,0.0
9009,nouveau jour nouvelle piste,,,,0.0
6336,merci mick,,,,0.0
7739,hehehe bonjour nuit ici temps détendre relaxer,,,,0.0
8836,bien,,,,0.0
8321,nature travail fan 4am sans interruption espère ça bien passé,,,,0.0
9514,hahaha conduire takedowns,,,,0.0
906,pourquoi a mongol armée 3eme reich,,user,,0.0
855,jai fait croire tout monde albanaise ptdrrrr alirs jai sale gueule arabe trop naïf gens,,,,1.0
12907,fait tandem marina espagnol allemand,,,,0.0
11171,commencé utiliser youtube amp plus vimeo besoin amis abonnés www youtube com user zinziii amp,,,,0.0
3973,évite traiter attardé vu resté poli tout ça putain mère arrê,,user url,,0.0
639,ça change quoi chiffres hein trois mille migrants trois millions migran,,user user user url,,1.0
11555,aimerais bien vouloir faire biseauté mac wink wink aussi,,,,0.0
4822,23 24 fois possible aujourd hui agréable,,,,0.0
5959,oui,,,,0.0
9883,gastropodes font telle bonne nourriture,,,,0.0
4349,médias voyage devons garder esprits cœurs inquiétez ms badu meilleur vrai,,,,0.0
10499,revenons dimanche lundi,,,,0.0
5115,brody ami,,,,0.0
5289,oh super tasse bien sortie bon travail,,,,0.0
4796,reçu colis bday depuis maison maintenant peux avoir jambe udong mee ligo raisin ba hu,,,,0.0
13120,f ing hell cheesecake fantastique vais bien,,,,0.0
9934,oui adore caramellow seulement deux jours plus jusqu pause pâques tellement excité stress école laissé derrière,,,,0.0
97,attendre gauchiste moustachu staline ça,,url,,0.0
428,adore insérer bla bla gauchiste ça a fait rire comme déprime aujourd hui,,user,,0.0
4915,bonjour tous adeptes souhaite joli mardi bonne chance entreprise allen verfolgern einen sonnigen dienstag,,,,0.0
9482,comme anne tout monde aimerait,,,,0.0
8896,vraiment vrai rick peu stupide autres simplement ennuyeux tks,,,,0.0
7138,faites inquiétez,,,,0.0
12336,bonjour nouveaux adeptes aussi sonja,,,,0.0
12316,omg pense cette affiche hehehee,,,,0.0
7294,oui tout va bien,,,,0.0
1374,franchement ras bol fois moyen dénoncer violence conjugale masse tous moyens,,url,,1.0
12330,encore eaux parce tempêtes vie ébranlés bam,,,,0.0
9129,cool aime peintures animales,,,,0.0
799,singe mongol chic type bon gars,,,,1.0
18,offense terrorisme voir dirigeants font rien quant montée,,user url,,1.0
4640,couleur pourpre,,,,0.0
6830,aaah tweets font toujours sourire contente entendre appréciez tour autant remercie,,,,0.0
2430,mots assez durs qualifier aveuglement face islamisation europe,,,,1.0
2317,bien sûr immeuble 2010 abritait réfugiés première guerre mondiale uwu,,user,,1.0
3937,josiane balaskoune personnaliténon juste gauchiste essaie tous moyens montrerc,,user url,,0.0
4654,cependant tourne mises jour état 4 uc parce insomnie amp viens réveiller seulement autorisé 2 faire cela,,,,0.0
8987,merci répondre question,,,,0.0
9179,oh non jour où entré uni si décidez faire montée pont port assurez aller salle bain 1ère,,,,0.0
8961,viens rentrer maison dormir avant aller puissant comm chercher lits,,,,0.0
11037,matin tina fait allons faire quelque chose génial si quelque chose grand,,,,0.0
4802,aujourd hui jour peut attendre voir jacqui peut casser visage poker lady gaga xd addictif dernier jour école aujourd hui,,,,0.0
4829,oh jeu aléatoire lol accro ça peur participe élève,,,,0.0
10605,ooo mr fry rien manqué vais surveiller aujourd hui autour londres alors réinstallez x,,,,0.0
195,joséphine arrive pecho rebeus couleur cheveux mdr sous estimez beaucoup trop,,url,,0.0
1648,typique renois mdrr quand ça perd battle ça crie scandale bouge là,,url,,1.0
1343,bon toutes façons cette attardé continuera harcèle mdr,,user user,,0.0
1148,triste sœurs réussisse fois attarde futilités twe,,user url,,1.0
10800,allé maison tout va bien espoir tomtom heureux,,,,0.0
3598,remplacez éducation nationale islam pedophilie terrorisme professeur p,,user url,,1.0
6432,hey you comment va recherche mari printemps air temps mûr pickin,,,,0.0
5211,vais cours danse salsa aime ça,,,,0.0
2241,quand voit carnage maduro gauchiste prefere melenchon ude4c,,url,,1.0
1563,oh renois bledard réseaux mettent tjs 40 hashtag 1 phrase demi arrêtez freres mdrr,,,,1.0
4338,dieu sho aime sent vraiment vraiment béni soir,,,,0.0
10893,ooh amusez bon tirer meilleur parti long week end,,,,0.0
1067,bete rt trop vite informations provenant conosphere islamo gauchiste nnc revoltant rej,,url,,1.0
980,rien revoir fatima désolé sale noir sale arabe sale jaune sale bri,,user user url,,0.0
10207,accéléré horloge,,,,0.0
1048,recu donc sacrifie espece tuer manger,,user user url,,0.0
13802,nouveau spectacle doit continuer ahahaha,,,,0.0
4641,lmao merci lee xd aimeriez joindre folie aussi lolol rofl come amp rejoignez mordons dur toute façon,,,,0.0
13004,fait excellente idée vais devoir vérifier prix billets assurer brise banque,,,,0.0
6647,parle twitter choses similaires,,,,0.0
9395,woohoo aimer amour twittage via dsc a cours,,,,0.0
7432,bien suivi maintenant donc vais attacher 2c chaque fois chance,,,,0.0
5556,woo cubs 1 0,,,,0.0
10601,espérons amusez travailler peux imaginer faire fais style grace fais u rock,,,,0.0
10633,adore nouvelle apparence bande dessinée savais toujours super héros,,,,0.0
2634,sale juif mdr nn,,user,,1.0
12829,va aller golddd vais essayer faire 2000 mots aujourd hui souhaite chance,,,,0.0
6702,film dvd favori enfance,,,,0.0
7603,appelez baleine échouée si reconnaît existence apparaîtra,,,,0.0
13743,oopsies accord ferai aucune attention homme derrière rideau,,,,0.0
11094,besoin travail différent va discuter toute nuit mignon donc vais surmonter,,,,0.0
11058,pourquoi oui xx,,,,0.0
6450,ahah lol oh tom dougie funny boiz,,,,0.0
11539,merci avoir partagé histoire nicole dolci site internet mère a pleuré quand a lu,,,,0.0
11084,oreillons si heureusement vie épargnée woop,,,,0.0
6035,accord jo dites merci natasha hrere,,,,0.0
253,clandestins armés affrontent devant fac éco gestion expulser urgence,migrants marseille,url,,1.0
3797,mdr allez nique mère cerveau détraqué sale attardé change,,user user user url,,0.0
5346,bon matin tout monde,,,,0.0
11382,soleil soleil soleil soleil soleil gèle motherf cker restez là allume journée,,,,0.0
3759,méritez attarde cas,,url,,0.0
7723,hmm veulent capturer toute activité internet espère beaucoup espace stockage,,,,0.0
974,cala mongol,,user,,1.0
12480,a train scooters travers ko chang toute journée demain scooters remplacés éléphants,,,,0.0
13628,sortir déteste cheveux grrr voir chauves souris papillons poisons,,,,0.0
5332,plupart hôtes qualité offrent comptes revendeurs peuvent faire cela,,,,0.0
3466,commando marine gauchiste triste,,user user,,0.0
3336,ah ouais rebeus teintures blondes enculé fragile là,,user user,,1.0
11346,sexy longs cheveux noirs oh homme pourquoi devrais aller xd,,,,0.0
12868,ahem 2 plumblossoms espère amusé,,,,0.0
7453,nooooo kutner préféré nouvelle équipe maison tellement triste peux attendre prochaine chose,,,,0.0
3740,bon bah plus chance cette attardé,,user user user,,0.0
11439,amp attends meilleur sentiment cette année sentiments généralement morts,,,,0.0
5768,heyy yess quoi neuf mec,,,,0.0
9775,aussi veux flirter distrait excuse tweeter tous jours lt 3,,,,0.0
5549,tout fait temps lit bonne nuit,,,,0.0
11197,bonjour tweeple,,,,0.0
11749,oh oui bonjour nouveaux adeptes gentil tweet,,,,0.0
11363,prépare autre jour école souhaite bonne chance i u all,,,,0.0
9304,bonne nuit,,,,0.0
950,ca metonne pr gauchiste pro islamist,,user user user user user url,,0.0
13141,doigts également croisés grand soulagement savoir sent mieux espérant travail arrive bien aussi,,,,0.0
7207,première leçon espagnol heure nerveuse marathon dessin massif reste journée,,,,0.0
7833,2e année foi église dieu vient terminer série sms conférences choses fatiguées joyeuses bougent,,,,0.0
2001,peu enfant attardé famille mal vouloir,,user,,0.0
13131,vérité amusez gâteaux jaloux,,,,0.0
2233,dommage parents contre avortement faut explique qi inférieu,,user url,,1.0
12171,comme bon vin ami,,,,0.0
5983,passez bon voyage sûr beaucoup câlins coeurs,,,,0.0
8441,omg pleure chaque fois aussi première fois vu littéralement larmes coulées visage embarrassant,,,,0.0
10681,palais arts répéter tout monde peu plus chirpy matin ça sonne bien,,,,0.0
3399,mgr cattenoz méchant identitaire attardé tradi voulait rechristianiser écoles,,user url,,0.0
6245,remercie,,,,0.0
8612,préparer emmener enfants ferme,,,,0.0
433,gneugneugneu qatar pognon arabes barbus enturbanés qsg terroristes change disque,,user user user user,,1.0
10694,presque pâques,,,,0.0
8738,ooh charmant,,,,0.0
6646,café internet quelque part los ba os besoin soumettre quelque chose,,,,0.0
9296,seulement ici myspace,,,,0.0
11112,briar copywriting combinaison géniale,,,,0.0
13963,communiqués presse banquet presque finis étapes finales édition,,,,0.0
2551,trouve yann moix a dérapé question violence policière biensur yena ok faut pa,,url,,0.0
1264,si vrai faudrait féministe rennes 1 2 idc,,user,,0.0
1942,ici souvient quand mecs rebeux renois jaloux jérôme jarre parce filles disaient,,url,,0.0
3255,a quelqu sait trouver vidéo mongol ricardo chante sch,,,,0.0
10761,hey agissait également 4 initialement problèmes dentition,,,,0.0
8005,caché œufs pâques prêt mis chasse,,,,0.0
3731,quelle transition parle tout monde devienne vegan pourquoi v,,user user url,,0.0
6577,a regardé quitter wars quot hilarant cheers v kdkiqfbs9lo amp fmt 18,,,,0.0
9212,manques ean,,,,0.0
10849,fille quel âge,,,,0.0
12345,bonsoir tous doit quot voir quot demain,,,,0.0
11732,pense drôle spam twitters suivent lorsque publie tweets stressants profitant vulnérabilité quoi,,,,0.0
2769,ah oui jeunot distribue diplômes bon gauchiste bon sang twitter repère gens bizarres,,user,,1.0
13795,café instant probablement assez tequila foie marcher pendant moment,,,,0.0
7382,fait aider père,,,,0.0
8152,utilisant flash faire nouvelle vidéo,,,,0.0
4020,merci réponse déjà trouvé cette réponse,,,,0.0
7073,soupe dîner,,,,0.0
12554,oui sens comme comparait toujours martin accord va bien vite amalina,,,,0.0
446,merde reconnus pygmé cet violence gratuite spontané bien,,user,,0.0
6081,vient rentrer maison journée amusante natation puis downey maintenant maison,,,,0.0
655,passe terrorisme islamiste terrorisme musulman entendu instant bouche,,user url,,1.0
1987,sauf si tues bah spawn triple attardé tues feu spectral sous fenetre putain,,user,,0.0
2889,grèce transferts réfugiés migrants vers continent accélèrent grèce accélère transferts r,,url,,1.0
7060,a dépassé tout imaginé,,,,0.0
11753,lève chambre coucher tourne tournevis lol matin aime,,,,0.0
12529,certaines personnes disent aiment lire dis trouvé bons livres,,,,0.0
2329,bien migrants vivaient aussi illégalité états unis 35 migrants illégaux interceptés québ,,url,,1.0
353,quand évêques bataillent contre pma pourquoi avortement contraception provoqueraient gé,,url,,1.0
5658,ice 72331 berlin atmosphère détendue bord attendons tous service gratuit inclus train,,,,0.0
5306,eh bien demain devrait être amusant sais pourquoi fatigué bonne nuit enfants,,,,0.0
5971,apafrom i tunes quelqu peut recommander site téléchargement bon raisonnable devrais dire légitime quot,,,,0.0
12063,omg miley cyrus vient dire bon matin amérique réveille cinq heures lire bible lmfao quelqu autre a air connerie,,,,0.0
13703,wow blague beaucoup joueurs catan là bas suppose peux aller,,,,0.0
7352,homme agréable apprécie nouveau twitter donc savais maintenant fais,,,,0.0
7921,dieux sûr passe pense attendrai remplacement 50d,,,,0.0
7165,veux essayer quelque temps clavier réel,,,,0.0
3232,chercheur diriger cette etude sans doute lu precise bie,,user user url,,0.0
8718,regarde quelques uns vieux articles youtube ahhh souvenirs,,,,0.0
2834,non genre blague migrants aime plus plus,,url,,1.0
8486,merci tous ceux envoyé travailler cette année heureux savoir viens planter 85 arbres inde certains bénéfices x,,,,0.0
4100,indiquez juste fini faire 200 crunches pensez diddy allons,,,,0.0
8742,truc cool,,,,0.0
7625,yay ça marche,,,,0.0
5966,viens monter zone baie plaît sc gt santa cruz quelqu peut être,,,,0.0
8503,aujourd hui refrain rend heureux,,,,0.0
8188,quelqu a décollé msn cet ordinateur grrrrrrr vais tuer bonjour papa aime,,,,0.0
7030,grand blog justice conquérant religion brillant lumière obscurité,,,,0.0
13122,peut être bombardé dernier concours garçon venu vingtaine maintenant 100 objectifs pourquoi,,,,0.0
2231,archetype petit dictateur gauchiste techniques communication vont,,user url,,0.0
10362,uuuuh devrait lire petite amie peu rouillé programmation,,,,0.0
752,passa teu twitter mongol,,url,,0.0
3290,sachant arabe objectifs donc si traite sale bougnoule merde p,,user url,,1.0
3260,alors ouvre trop gueule parce ici besoin substitution vi,,user user url,,0.0
12283,bonjour twitter,,,,0.0
1845,comprend raconte mongol,lfauit,,,0.0
11011,soir génial savais verrais twitter avant coucher ha ha,,,,0.0
4845,laissons tomber a généré toast germandoo oh joie connaître quelques mots allemand via twitt,,,,0.0
4064,ben ouais seulement remarqué bb aussi,,,,0.0
1770,mariages renois toujours daron sifflet mode arbitre,,,,1.0
4992,impressionnant voit là bas,,,,0.0
7473,presque temps rentrer maison entretiens parent enseignant soir devrait être bon,,,,0.0
10570,hourra venez stand 1554 peu spécial,,,,0.0
360,présidents azerbaïdjanais mongol rencontrent bakou,,url url,,0.0
7100,fois reconnaissant gouvernement dépenser argent durement gagné veux toujours mains poches,,,,0.0
12845,mawwnin maman,,,,0.0
10285,plus 3 jours relaxer 4 jours,,,,0.0
6640,yayy prêt 4 prix sony fait petite danse,,,,0.0
12823,mah birfday,,,,0.0
